EID,Title,URL
661493451,"Knives and Fights w/ Joel McHale | 2 Bears, 1 Cave Ep. 194","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9993971460.mp3?updated=1704840448"
661493450,"Flying Death Traps | 2 Bears, 1 Cave Ep. 193","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2181656385.mp3?updated=1704840914"
661493449,"The Content Machine w/ Kountry Wayne | 2 Bears, 1 Cave Ep. 192","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH2363994431.mp3?updated=1707416488"
661493448,"Bert's Blow Up w/ Ari Shaffir | 2 Bears, 1 Cave Ep. 191","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1268041052.mp3?updated=1707416593"
661493447,"Is Squirting Real? | 2 Bears, 1 Cave Ep. 190","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6094674825.mp3?updated=1704866243"
661493446,"Plus-Size Accommodations w/ Tim Dillon | 2 Bears, 1 Cave Ep. 189","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6142260246.mp3?updated=1704866412"
661493445,"The Machine Premiere | 2 Bears, 1 Cave Ep. 188","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9941175602.mp3?updated=1707417006"
661493444,"Flooring It w/ Ryan Blaney | 2 Bears, 1 Cave Ep. 187","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH5603163796.mp3?updated=1704866837"
661493443,"Make Hollywood Fun Again w/ Kevin Smith | 2 Bears, 1 Cave Ep. 186","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH5002296395.mp3?updated=1704867235"
661493442,"The Dream Team w/ Ryan Sickler | 2 Bears, 1 Cave Ep. 185","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7880351367.mp3?updated=1704867194"
661493441,"The Monarchy Sucks w/ Jim Jefferies | 2 Bears, 1 Cave Ep. 184","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH3773587584.mp3?updated=1704867308"
661493440,"Women Have It Good w/ Yannis Pappas | 2 Bears, 1 Cave Ep. 183","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4858392640.mp3?updated=1707417491"
661493438,"Testosterone Bears | 2 Bears, 1 Cave Ep. 182","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6900084445.mp3?updated=1704867694"
661493436,"Crazy Ex-Girlfriends w/ Big Jay Oakerson | 2 Bears, 1 Cave Ep. 181","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH8152506706.mp3?updated=1707417492"
